index;dia;mes;ano; valor ;index;mes;ano;valor
0;18;7;2014; 1,50 ;;7;2014;1,5
1;5;8;2014; 83,20 ;;8;2014;54228,86
2;8;8;2014; 22,50 ;;9;2014;79707,74
3;11;8;2014; 15,91 ;;10;2014;92994,49
4;12;8;2014; 0,44 ;;11;2014;99751,70
5;13;8;2014; 1.393,49 ;;12;2014;121334,26
6;14;8;2014; 2.100,92 ;;1;2015;80715,76
7;15;8;2014; 2.882,71 ;;2;2015;72224,63
8;16;8;2014; 3.893,80 ;;3;2015;73179,45
9;17;8;2014; 3.774,72 ;;4;2015;263512,38
10;18;8;2014; 1.687,77 ;;5;2015;325193,14
11;19;8;2014; 1.091,96 ;;6;2015;333163,07
12;20;8;2014; 1.659,50 ;;7;2015;402575,47
13;21;8;2014; 1.737,11 ;;8;2015;331405,31
14;22;8;2014; 3.388,52 ;;9;2015;294473,47
15;23;8;2014; 4.107,50 ;;10;2015;331473,15
16;24;8;2014; 4.626,87 ;;11;2015;337373,41
17;25;8;2014; 1.760,93 ;;12;2015;438262,95
18;26;8;2014; 1.640,58 ;;1;2016;398732,38
19;27;8;2014; 2.107,75 ;;2;2016;300369,98
20;28;8;2014; 2.690,52 ;;3;2016;307800,64
21;29;8;2014; 3.385,84 ;;4;2016;323850,44
22;30;8;2014; 5.117,44 ;;5;2016;338480,67
23;31;8;2014; 5.058,88 ;;6;2016;332429,23
24;1;9;2014; 2.284,99 ;;7;2016;408854,16
25;2;9;2014; 1.918,14 ;;8;2016;303855,82
26;3;9;2014; 2.508,91 ;;9;2016;343189,30
27;4;9;2014; 2.015,57 ;;10;2016;398158,72
28;5;9;2014; 4.133,71 ;;11;2016;390197,68
29;6;9;2014; 4.774,22 ;;12;2016;486007,35
30;7;9;2014; 3.598,60 ;;1;2017;469226,43
31;8;9;2014; 1.499,42 ;;2;2017;360349,55
32;9;9;2014; 1.164,88 ;;3;2017;417884,31
33;10;9;2014; 2.232,54 ;;4;2017;428958,07
34;11;9;2014; 1.592,50 ;;5;2017;355875,02
35;12;9;2014; 4.122,67 ;;6;2017;340212,38
36;13;9;2014; 4.046,96 ;;7;2017;407182,17
37;14;9;2014; 5.274,91 ;;8;2017;331542,19
38;15;9;2014; 1.194,44 ;;9;2017;330447,87
39;16;9;2014; 1.169,04 ;;10;2017;344800,27
40;17;9;2014; 1.816,80 ;;11;2017;366203,59
41;18;9;2014; 1.115,87 ;;12;2017;503843,42
42;19;9;2014; 3.534,05 ;;1;2018;449808,06
43;20;9;2014; 4.753,52 ;;2;2018;348243,37
44;21;9;2014; 4.410,94 ;;3;2018;382666,09
45;22;9;2014; 1.033,92 ;;4;2018;383273,38
46;23;9;2014; 1.534,57 ;;5;2018;418669,53
47;24;9;2014; 3.185,22 ;;6;2018;379383,08
48;25;9;2014; 1.676,89 ;;7;2018;482195,78
49;26;9;2014; 3.063,76 ;;8;2018;434308,16
50;27;9;2014; 4.096,49 ;;9;2018;438753,21
51;28;9;2014; 3.433,96 ;;10;2018;457025,59
52;29;9;2014; 1.388,30 ;;;;
53;30;9;2014; 1.131,95 ;;;;
54;1;10;2014; 1.876,60 ;;;;
55;2;10;2014; 1.386,10 ;;;;
56;3;10;2014; 2.099,46 ;;;;
57;4;10;2014; 5.499,34 ;;;;
58;5;10;2014; 3.751,07 ;;;;
59;6;10;2014; 2.303,57 ;;;;
60;7;10;2014; 2.044,36 ;;;;
61;8;10;2014; 2.826,99 ;;;;
62;9;10;2014; 1.869,38 ;;;;
63;10;10;2014; 3.947,65 ;;;;
64;11;10;2014; 5.913,40 ;;;;
65;12;10;2014; 4.906,76 ;;;;
66;13;10;2014; 1.379,80 ;;;;
67;14;10;2014; 1.801,87 ;;;;
68;15;10;2014; 3.115,89 ;;;;
69;16;10;2014; 1.945,09 ;;;;
70;17;10;2014; 3.753,12 ;;;;
71;18;10;2014; 4.663,95 ;;;;
72;19;10;2014; 3.275,96 ;;;;
73;20;10;2014; 908,50 ;;;;
74;21;10;2014; 1.606,26 ;;;;
75;22;10;2014; 1.986,30 ;;;;
76;23;10;2014; 2.764,46 ;;;;
77;24;10;2014; 3.548,29 ;;;;
78;25;10;2014; 4.828,87 ;;;;
79;26;10;2014; 2.805,33 ;;;;
80;27;10;2014; 2.219,27 ;;;;
81;28;10;2014; 2.325,39 ;;;;
82;29;10;2014; 1.483,12 ;;;;
83;30;10;2014; 5.566,88 ;;;;
84;31;10;2014; 4.591,46 ;;;;
85;1;11;2014; 5.208,53 ;;;;
86;2;11;2014; 3.835,13 ;;;;
87;3;11;2014; 2.022,43 ;;;;
88;4;11;2014; 2.061,56 ;;;;
89;5;11;2014; 2.435,79 ;;;;
90;6;11;2014; 1.963,47 ;;;;
91;7;11;2014; 2.707,78 ;;;;
92;8;11;2014; 4.290,74 ;;;;
93;9;11;2014; 4.474,47 ;;;;
94;10;11;2014; 1.522,25 ;;;;
95;11;11;2014; 1.568,44 ;;;;
96;12;11;2014; 2.416,26 ;;;;
97;13;11;2014; 1.938,58 ;;;;
98;14;11;2014; 3.577,07 ;;;;
99;15;11;2014; 5.138,28 ;;;;
100;16;11;2014; 3.998,42 ;;;;
101;17;11;2014; 2.157,51 ;;;;
102;18;11;2014; 2.162,68 ;;;;
103;19;11;2014; 2.078,03 ;;;;
104;20;11;2014; 3.385,50 ;;;;
105;21;11;2014; 4.095,77 ;;;;
106;22;11;2014; 5.554,62 ;;;;
107;23;11;2014; 4.906,93 ;;;;
108;24;11;2014; 1.910,76 ;;;;
109;25;11;2014; 2.084,77 ;;;;
110;26;11;2014; 2.155,80 ;;;;
111;27;11;2014; 3.645,96 ;;;;
112;28;11;2014; 4.830,61 ;;;;
113;29;11;2014; 5.704,76 ;;;;
114;30;11;2014; 5.918,80 ;;;;
115;1;12;2014; 2.457,73 ;;;;
116;2;12;2014; 3.050,49 ;;;;
117;3;12;2014; 2.614,54 ;;;;
118;4;12;2014; 2.825,10 ;;;;
119;5;12;2014; 4.052,09 ;;;;
120;6;12;2014; 5.736,54 ;;;;
121;7;12;2014; 5.371,75 ;;;;
122;8;12;2014; 2.641,42 ;;;;
123;9;12;2014; 2.354,52 ;;;;
124;10;12;2014; 4.476,62 ;;;;
125;11;12;2014; 3.961,86 ;;;;
126;12;12;2014; 4.309,69 ;;;;
127;13;12;2014; 5.184,67 ;;;;
128;14;12;2014; 4.666,98 ;;;;
129;15;12;2014; 2.294,58 ;;;;
130;16;12;2014; 2.845,26 ;;;;
131;17;12;2014; 2.501,85 ;;;;
132;18;12;2014; 3.361,77 ;;;;
133;19;12;2014; 4.000,62 ;;;;
134;20;12;2014; 5.524,74 ;;;;
135;21;12;2014; 6.424,12 ;;;;
136;22;12;2014; 5.154,80 ;;;;
137;23;12;2014; 5.706,63 ;;;;
138;24;12;2014; 4.105,41 ;;;;
139;25;12;2014; 2.414,00 ;;;;
140;26;12;2014; 4.365,59 ;;;;
141;27;12;2014; 4.936,40 ;;;;
142;28;12;2014; 3.889,34 ;;;;
143;29;12;2014; 2.835,31 ;;;;
144;30;12;2014; 4.535,56 ;;;;
145;31;12;2014; 2.734,28 ;;;;
146;1;1;2015; 2.255,00 ;;;;
147;2;1;2015; 2.523,85 ;;;;
148;3;1;2015; 3.834,66 ;;;;
149;4;1;2015; 3.622,18 ;;;;
150;5;1;2015; 1.556,19 ;;;;
151;6;1;2015; 2.026,37 ;;;;
152;7;1;2015; 2.491,19 ;;;;
153;8;1;2015; 1.844,40 ;;;;
154;9;1;2015; 3.013,37 ;;;;
155;10;1;2015; 4.073,43 ;;;;
156;11;1;2015; 3.371,48 ;;;;
157;12;1;2015; 1.637,65 ;;;;
158;13;1;2015; 2.247,90 ;;;;
159;14;1;2015; 2.023,87 ;;;;
160;15;1;2015; 2.950,22 ;;;;
161;16;1;2015; 2.364,34 ;;;;
162;17;1;2015; 4.013,27 ;;;;
163;18;1;2015; 5.234,29 ;;;;
164;19;1;2015; 1.739,76 ;;;;
165;20;1;2015; 2.044,29 ;;;;
166;21;1;2015; 1.714,84 ;;;;
167;22;1;2015; 1.548,40 ;;;;
168;23;1;2015; 3.325,76 ;;;;
169;24;1;2015; 3.938,39 ;;;;
170;25;1;2015; 3.663,17 ;;;;
171;26;1;2015; 1.263,00 ;;;;
172;27;1;2015; 1.655,82 ;;;;
173;28;1;2015; 1.690,70 ;;;;
174;29;1;2015; 1.377,13 ;;;;
175;30;1;2015; 2.300,69 ;;;;
176;31;1;2015; 3.370,15 ;;;;
177;1;2;2015; 4.555,95 ;;;;
178;2;2;2015; 2.088,90 ;;;;
179;3;2;2015; 1.748,00 ;;;;
180;4;2;2015; 1.809,98 ;;;;
181;5;2;2015; 2.401,33 ;;;;
182;6;2;2015; 3.216,40 ;;;;
183;7;2;2015; 4.781,57 ;;;;
184;8;2;2015; 5.247,42 ;;;;
185;9;2;2015; 1.882,44 ;;;;
186;10;2;2015; 2.050,50 ;;;;
187;11;2;2015; 2.623,35 ;;;;
188;12;2;2015; 2.882,92 ;;;;
189;13;2;2015; 1.988,70 ;;;;
190;14;2;2015; 3.765,78 ;;;;
191;15;2;2015; 1.764,14 ;;;;
192;18;2;2015; 2.383,30 ;;;;
193;19;2;2015; 1.311,98 ;;;;
194;20;2;2015; 2.431,41 ;;;;
195;21;2;2015; 5.319,99 ;;;;
196;22;2;2015; 4.163,57 ;;;;
197;23;2;2015; 1.512,96 ;;;;
198;24;2;2015; 1.799,55 ;;;;
199;25;2;2015; 1.860,99 ;;;;
200;26;2;2015; 2.031,64 ;;;;
201;27;2;2015; 2.570,31 ;;;;
202;28;2;2015; 4.031,55 ;;;;
203;1;3;2015; 4.209,61 ;;;;
204;2;3;2015; 1.522,18 ;;;;
205;3;3;2015; 2.352,87 ;;;;
206;4;3;2015; 2.144,50 ;;;;
207;5;3;2015; 1.546,50 ;;;;
208;6;3;2015; 3.403,21 ;;;;
209;7;3;2015; 3.150,43 ;;;;
210;8;3;2015; 4.024,54 ;;;;
211;9;3;2015; 1.291,49 ;;;;
212;10;3;2015; 1.747,73 ;;;;
213;11;3;2015; 1.770,03 ;;;;
214;12;3;2015; 1.729,15 ;;;;
215;13;3;2015; 2.397,45 ;;;;
216;14;3;2015; 3.545,91 ;;;;
217;15;3;2015; 2.937,31 ;;;;
218;16;3;2015; 1.553,19 ;;;;
219;17;3;2015; 1.819,66 ;;;;
220;18;3;2015; 1.728,15 ;;;;
221;19;3;2015; 3.347,84 ;;;;
222;20;3;2015; 2.115,32 ;;;;
223;21;3;2015; 2.731,12 ;;;;
224;22;3;2015; 3.175,39 ;;;;
225;23;3;2015; 1.346,39 ;;;;
226;24;3;2015; 1.746,83 ;;;;
227;25;3;2015; 2.174,00 ;;;;
228;26;3;2015; 1.181,47 ;;;;
229;27;3;2015; 2.708,74 ;;;;
230;28;3;2015; 3.366,04 ;;;;
231;29;3;2015; 2.681,49 ;;;;
232;30;3;2015; 1.507,56 ;;;;
233;31;3;2015; 2.223,35 ;;;;
234;1;4;2015; 2.059,33 ;;;;
235;2;4;2015; 3.497,39 ;;;;
236;3;4;2015; 4.869,60 ;;;;
237;4;4;2015; 19.071,83 ;;;;
238;5;4;2015; 13.512,03 ;;;;
239;6;4;2015; 8.023,30 ;;;;
240;7;4;2015; 7.650,92 ;;;;
241;8;4;2015; 7.909,52 ;;;;
242;9;4;2015; 7.905,00 ;;;;
243;10;4;2015; 10.081,08 ;;;;
244;11;4;2015; 16.509,19 ;;;;
245;12;4;2015; 14.703,51 ;;;;
246;13;4;2015; 6.442,12 ;;;;
247;14;4;2015; 5.292,20 ;;;;
248;15;4;2015; 5.897,59 ;;;;
249;16;4;2015; 6.648,58 ;;;;
250;17;4;2015; 8.676,43 ;;;;
251;18;4;2015; 15.688,35 ;;;;
252;19;4;2015; 11.558,01 ;;;;
253;20;4;2015; 6.855,63 ;;;;
254;21;4;2015; 10.204,47 ;;;;
255;22;4;2015; 4.997,74 ;;;;
256;23;4;2015; 6.443,79 ;;;;
257;24;4;2015; 8.505,01 ;;;;
258;25;4;2015; 14.176,01 ;;;;
259;26;4;2015; 12.449,76 ;;;;
260;27;4;2015; 5.724,73 ;;;;
261;28;4;2015; 5.394,89 ;;;;
262;29;4;2015; 4.602,27 ;;;;
263;30;4;2015; 8.162,10 ;;;;
264;1;5;2015; 5.966,23 ;;;;
265;2;5;2015; 14.875,54 ;;;;
266;3;5;2015; 9.067,07 ;;;;
267;4;5;2015; 5.430,45 ;;;;
268;5;5;2015; 4.232,68 ;;;;
269;6;5;2015; 6.562,66 ;;;;
270;7;5;2015; 7.397,34 ;;;;
271;8;5;2015; 10.522,92 ;;;;
272;9;5;2015; 14.709,79 ;;;;
273;10;5;2015; 11.482,98 ;;;;
274;11;5;2015; 4.213,81 ;;;;
275;12;5;2015; 7.322,32 ;;;;
276;13;5;2015; 8.095,85 ;;;;
277;14;5;2015; 8.823,11 ;;;;
278;15;5;2015; 12.946,61 ;;;;
279;16;5;2015; 19.850,50 ;;;;
280;17;5;2015; 18.432,54 ;;;;
281;18;5;2015; 6.545,07 ;;;;
282;19;5;2015; 6.416,85 ;;;;
283;20;5;2015; 8.110,31 ;;;;
284;21;5;2015; 8.524,97 ;;;;
285;22;5;2015; 10.857,08 ;;;;
286;23;5;2015; 18.186,37 ;;;;
287;24;5;2015; 17.000,29 ;;;;
288;25;5;2015; 6.503,68 ;;;;
289;26;5;2015; 6.047,73 ;;;;
290;27;5;2015; 7.086,33 ;;;;
291;28;5;2015; 8.131,38 ;;;;
292;29;5;2015; 12.890,67 ;;;;
293;30;5;2015; 20.644,18 ;;;;
294;31;5;2015; 18.315,83 ;;;;
295;1;6;2015; 6.505,45 ;;;;
296;2;6;2015; 7.940,15 ;;;;
297;3;6;2015; 10.302,36 ;;;;
298;4;6;2015; 19.000,79 ;;;;
299;5;6;2015; 12.935,66 ;;;;
300;6;6;2015; 14.714,77 ;;;;
301;7;6;2015; 15.064,83 ;;;;
302;8;6;2015; 5.786,05 ;;;;
303;9;6;2015; 8.504,65 ;;;;
304;10;6;2015; 8.024,98 ;;;;
305;11;6;2015; 10.429,21 ;;;;
306;12;6;2015; 16.803,87 ;;;;
307;13;6;2015; 18.926,44 ;;;;
308;14;6;2015; 18.255,29 ;;;;
309;15;6;2015; 5.742,21 ;;;;
310;16;6;2015; 7.479,77 ;;;;
311;17;6;2015; 7.200,96 ;;;;
312;18;6;2015; 7.041,63 ;;;;
313;19;6;2015; 12.546,36 ;;;;
314;20;6;2015; 15.840,73 ;;;;
315;21;6;2015; 14.309,52 ;;;;
316;22;6;2015; 6.910,58 ;;;;
317;23;6;2015; 8.414,13 ;;;;
318;24;6;2015; 7.291,79 ;;;;
319;25;6;2015; 8.048,41 ;;;;
320;26;6;2015; 10.458,86 ;;;;
321;27;6;2015; 15.822,10 ;;;;
322;28;6;2015; 16.764,97 ;;;;
323;29;6;2015; 8.365,59 ;;;;
324;30;6;2015; 7.730,96 ;;;;
325;1;7;2015; 10.399,32 ;;;;
326;2;7;2015; 10.858,37 ;;;;
327;3;7;2015; 12.750,90 ;;;;
328;4;7;2015; 19.055,85 ;;;;
329;5;7;2015; 22.909,43 ;;;;
330;6;7;2015; 9.281,63 ;;;;
331;7;7;2015; 10.160,85 ;;;;
332;8;7;2015; 11.297,20 ;;;;
333;9;7;2015; 9.264,94 ;;;;
334;10;7;2015; 12.000,65 ;;;;
335;11;7;2015; 17.353,14 ;;;;
336;12;7;2015; 17.892,31 ;;;;
337;13;7;2015; 10.449,99 ;;;;
338;14;7;2015; 9.996,33 ;;;;
339;15;7;2015; 10.509,48 ;;;;
340;16;7;2015; 12.995,90 ;;;;
341;17;7;2015; 14.640,65 ;;;;
342;18;7;2015; 19.560,11 ;;;;
343;19;7;2015; 15.360,69 ;;;;
344;20;7;2015; 10.295,10 ;;;;
345;21;7;2015; 9.357,71 ;;;;
346;22;7;2015; 12.758,74 ;;;;
347;23;7;2015; 11.460,65 ;;;;
348;24;7;2015; 13.002,60 ;;;;
349;25;7;2015; 16.604,52 ;;;;
350;26;7;2015; 17.875,09 ;;;;
351;27;7;2015; 10.832,33 ;;;;
352;28;7;2015; 8.793,15 ;;;;
353;29;7;2015; 10.462,11 ;;;;
354;30;7;2015; 10.030,99 ;;;;
355;31;7;2015; 14.364,74 ;;;;
356;1;8;2015; 18.900,60 ;;;;
357;2;8;2015; 15.865,46 ;;;;
358;3;8;2015; 8.345,69 ;;;;
359;4;8;2015; 8.524,15 ;;;;
360;5;8;2015; 8.846,82 ;;;;
361;6;8;2015; 8.245,83 ;;;;
362;7;8;2015; 12.062,79 ;;;;
363;8;8;2015; 20.631,64 ;;;;
364;9;8;2015; 17.084,97 ;;;;
365;10;8;2015; 7.997,83 ;;;;
366;11;8;2015; 7.068,99 ;;;;
367;12;8;2015; 6.627,61 ;;;;
368;13;8;2015; 7.264,20 ;;;;
369;14;8;2015; 11.926,17 ;;;;
370;15;8;2015; 9.378,85 ;;;;
371;16;8;2015; 17.272,84 ;;;;
372;17;8;2015; 6.274,02 ;;;;
373;18;8;2015; 6.384,63 ;;;;
374;19;8;2015; 6.276,91 ;;;;
375;20;8;2015; 7.290,32 ;;;;
376;21;8;2015; 9.856,77 ;;;;
377;22;8;2015; 16.755,94 ;;;;
378;23;8;2015; 17.187,58 ;;;;
379;24;8;2015; 5.384,68 ;;;;
380;25;8;2015; 6.092,53 ;;;;
381;26;8;2015; 6.450,51 ;;;;
382;27;8;2015; 10.611,61 ;;;;
383;28;8;2015; 10.556,37 ;;;;
384;29;8;2015; 14.609,38 ;;;;
385;30;8;2015; 14.735,61 ;;;;
386;31;8;2015; 6.894,01 ;;;;
387;1;9;2015; 6.900,62 ;;;;
388;2;9;2015; 6.996,53 ;;;;
389;3;9;2015; 8.297,69 ;;;;
390;4;9;2015; 10.628,06 ;;;;
391;5;9;2015; 16.518,64 ;;;;
392;6;9;2015; 16.219,34 ;;;;
393;7;9;2015; 9.576,22 ;;;;
394;8;9;2015; 6.694,62 ;;;;
395;9;9;2015; 7.777,83 ;;;;
396;10;9;2015; 7.098,24 ;;;;
397;11;9;2015; 9.829,76 ;;;;
398;12;9;2015; 18.354,41 ;;;;
399;13;9;2015; 13.650,73 ;;;;
400;14;9;2015; 6.995,72 ;;;;
401;15;9;2015; 6.528,96 ;;;;
402;16;9;2015; 7.122,38 ;;;;
403;17;9;2015; 8.174,82 ;;;;
404;18;9;2015; 10.163,58 ;;;;
405;19;9;2015; 16.670,08 ;;;;
406;20;9;2015; 16.362,35 ;;;;
407;21;9;2015; 6.053,13 ;;;;
408;22;9;2015; 6.672,71 ;;;;
409;23;9;2015; 5.547,32 ;;;;
410;24;9;2015; 8.130,85 ;;;;
411;25;9;2015; 8.566,87 ;;;;
412;26;9;2015; 15.592,13 ;;;;
413;27;9;2015; 14.720,31 ;;;;
414;28;9;2015; 5.386,78 ;;;;
415;29;9;2015; 5.905,00 ;;;;
416;30;9;2015; 7.337,79 ;;;;
417;1;10;2015; 7.061,05 ;;;;
418;2;10;2015; 11.262,66 ;;;;
419;3;10;2015; 15.347,06 ;;;;
420;4;10;2015; 14.288,06 ;;;;
421;5;10;2015; 5.839,39 ;;;;
422;6;10;2015; 7.438,05 ;;;;
423;7;10;2015; 6.883,43 ;;;;
424;8;10;2015; 6.841,25 ;;;;
425;9;10;2015; 11.369,42 ;;;;
426;10;10;2015; 17.929,71 ;;;;
427;11;10;2015; 17.196,03 ;;;;
428;12;10;2015; 21.114,68 ;;;;
429;13;10;2015; 7.813,63 ;;;;
430;14;10;2015; 6.982,40 ;;;;
431;15;10;2015; 7.694,41 ;;;;
432;16;10;2015; 10.633,16 ;;;;
433;17;10;2015; 16.910,80 ;;;;
434;18;10;2015; 15.683,98 ;;;;
435;19;10;2015; 5.093,55 ;;;;
436;20;10;2015; 6.647,28 ;;;;
437;21;10;2015; 7.331,50 ;;;;
438;22;10;2015; 7.866,18 ;;;;
439;23;10;2015; 10.545,55 ;;;;
440;24;10;2015; 15.193,98 ;;;;
441;25;10;2015; 15.280,40 ;;;;
442;26;10;2015; 6.323,24 ;;;;
443;27;10;2015; 6.371,43 ;;;;
444;28;10;2015; 6.502,96 ;;;;
445;29;10;2015; 6.612,96 ;;;;
446;30;10;2015; 12.095,88 ;;;;
447;31;10;2015; 17.319,07 ;;;;
448;1;11;2015; 16.590,33 ;;;;
449;2;11;2015; 9.181,51 ;;;;
450;3;11;2015; 6.976,37 ;;;;
451;4;11;2015; 6.824,19 ;;;;
452;5;11;2015; 6.898,16 ;;;;
453;6;11;2015; 10.235,68 ;;;;
454;7;11;2015; 18.905,92 ;;;;
455;8;11;2015; 16.612,22 ;;;;
456;9;11;2015; 6.599,70 ;;;;
457;10;11;2015; 6.575,42 ;;;;
458;11;11;2015; 6.736,17 ;;;;
459;12;11;2015; 6.993,13 ;;;;
460;13;11;2015; 10.462,77 ;;;;
461;14;11;2015; 18.603,77 ;;;;
462;15;11;2015; 13.798,39 ;;;;
463;16;11;2015; 5.961,80 ;;;;
464;17;11;2015; 6.787,79 ;;;;
465;18;11;2015; 7.369,35 ;;;;
466;19;11;2015; 7.754,02 ;;;;
467;20;11;2015; 12.497,02 ;;;;
468;21;11;2015; 17.056,71 ;;;;
469;22;11;2015; 16.820,74 ;;;;
470;23;11;2015; 6.443,88 ;;;;
471;24;11;2015; 7.804,22 ;;;;
472;25;11;2015; 8.708,84 ;;;;
473;26;11;2015; 8.853,36 ;;;;
474;27;11;2015; 16.955,87 ;;;;
475;28;11;2015; 21.772,95 ;;;;
476;29;11;2015; 22.566,66 ;;;;
477;30;11;2015; 8.026,47 ;;;;
478;1;12;2015; 8.105,51 ;;;;
479;2;12;2015; 7.927,39 ;;;;
480;3;12;2015; 9.417,27 ;;;;
481;4;12;2015; 11.337,34 ;;;;
482;5;12;2015; 20.903,70 ;;;;
483;6;12;2015; 17.653,32 ;;;;
484;7;12;2015; 8.703,07 ;;;;
485;8;12;2015; 8.962,64 ;;;;
486;9;12;2015; 9.322,41 ;;;;
487;10;12;2015; 8.772,55 ;;;;
488;11;12;2015; 13.307,42 ;;;;
489;12;12;2015; 19.515,88 ;;;;
490;13;12;2015; 19.542,23 ;;;;
491;14;12;2015; 9.339,45 ;;;;
492;15;12;2015; 11.487,40 ;;;;
493;16;12;2015; 11.577,27 ;;;;
494;17;12;2015; 11.987,57 ;;;;
495;18;12;2015; 15.837,73 ;;;;
496;19;12;2015; 22.777,52 ;;;;
497;20;12;2015; 24.823,13 ;;;;
498;21;12;2015; 15.797,85 ;;;;
499;22;12;2015; 17.438,93 ;;;;
500;23;12;2015; 17.966,45 ;;;;
501;24;12;2015; 13.582,12 ;;;;
502;26;12;2015; 22.808,98 ;;;;
503;27;12;2015; 18.758,06 ;;;;
504;28;12;2015; 15.424,05 ;;;;
505;29;12;2015; 14.317,71 ;;;;
506;30;12;2015; 17.462,86 ;;;;
507;31;12;2015; 13.405,14 ;;;;
